Name,Level,Display Type,Parent Name,Top Level Name,Country Code,Region Code,Latitude,Longitude,Map Display,Visited,Stats Scope,Notes
Singapore,City,City,Singapore,Singapore,SG,SG,1.3521,103.8198,true,true,City,"City-state city record; optional if you prefer only top-level Singapore."
Hong Kong,City,City,Hong Kong SAR,Hong Kong SAR,HK,HK,22.3193,114.1694,true,true,City,
Chengdu,City,City,Sichuan,China,CN,CN-SC,30.5728,104.0668,true,true,City,
Tokyo,City,City,Tokyo,Japan,JP,JP-13,35.6762,139.6503,true,true,City,
Kyoto,City,City,Kyoto,Japan,JP,JP-26,35.0116,135.7681,true,false,City,
Osaka,City,City,Osaka,Japan,JP,JP-27,34.6937,135.5023,true,false,City,
Naha,City,City,Okinawa,Japan,JP,JP-47,26.2124,127.6792,true,false,City,
Seoul,City,City,South Korea,South Korea,KR,KR-11,37.5665,126.978,true,false,City,
Bangkok,City,City,Thailand,Thailand,TH,TH-10,13.7563,100.5018,true,false,City,
Kuala Lumpur,City,City,Malaysia,Malaysia,MY,MY-14,3.139,101.6869,true,false,City,
Penang,City,City,Malaysia,Malaysia,MY,MY-07,5.4164,100.3327,true,false,City,
Bali,City,City,Indonesia,Indonesia,ID,ID-BA,-8.3405,115.092,true,false,City,
Ho Chi Minh City,City,City,Vietnam,Vietnam,VN,VN-SG,10.8231,106.6297,true,false,City,
London,City,City,England,United Kingdom,GB,GB-ENG,51.5072,-0.1276,true,false,City,
Paris,City,City,France,France,FR,FR-IDF,48.8566,2.3522,true,false,City,
New York City,City,City,New York,United States,US,US-NY,40.7128,-74.006,true,false,City,
Los Angeles,City,City,California,United States,US,US-CA,34.0522,-118.2437,true,false,City,
San Francisco,City,City,California,United States,US,US-CA,37.7749,-122.4194,true,false,City,
Boston,City,City,Massachusetts,United States,US,US-MA,42.3601,-71.0589,true,false,City,
Sydney,City,City,New South Wales,Australia,AU,AU-NSW,-33.8688,151.2093,true,false,City,
Melbourne,City,City,Victoria,Australia,AU,AU-VIC,-37.8136,144.9631,true,false,City,
Vancouver,City,City,British Columbia,Canada,CA,CA-BC,49.2827,-123.1207,true,false,City,
Toronto,City,City,Ontario,Canada,CA,CA-ON,43.6532,-79.3832,true,false,City,
