Name,Level,Display Type,Parent Name,Top Level Name,Country Code,Region Code,Latitude,Longitude,Map Display,Visited,Stats Scope,Notes
Beijing,Region,Province / State,China,China,CN,CN-BJ,39.9042,116.4074,true,false,Subregion,
Shanghai,Region,Province / State,China,China,CN,CN-SH,31.2304,121.4737,true,false,Subregion,
Tianjin,Region,Province / State,China,China,CN,CN-TJ,39.3434,117.3616,true,false,Subregion,
Chongqing,Region,Province / State,China,China,CN,CN-CQ,29.4316,106.9123,true,false,Subregion,
Sichuan,Region,Province / State,China,China,CN,CN-SC,30.6171,102.7103,true,true,Subregion,
Guangdong,Region,Province / State,China,China,CN,CN-GD,23.379,113.7633,true,false,Subregion,
Zhejiang,Region,Province / State,China,China,CN,CN-ZJ,29.1832,120.0934,true,false,Subregion,
Jiangsu,Region,Province / State,China,China,CN,CN-JS,32.9711,119.455,true,false,Subregion,
Fujian,Region,Province / State,China,China,CN,CN-FJ,26.0789,117.9874,true,false,Subregion,
Hainan,Region,Province / State,China,China,CN,CN-HI,19.1959,109.7453,true,false,Subregion,
Yunnan,Region,Province / State,China,China,CN,CN-YN,24.4753,101.3431,true,false,Subregion,
Shaanxi,Region,Province / State,China,China,CN,CN-SN,35.1917,108.8701,true,false,Subregion,
Hubei,Region,Province / State,China,China,CN,CN-HB,30.9756,112.2707,true,false,Subregion,
Hunan,Region,Province / State,China,China,CN,CN-HN,27.6104,111.7088,true,false,Subregion,
Guangxi,Region,Province / State,China,China,CN,CN-GX,23.7248,108.8076,true,false,Subregion,
Tibet,Region,Province / State,China,China,CN,CN-XZ,31.6927,88.0924,true,false,Subregion,
Xinjiang,Region,Province / State,China,China,CN,CN-XJ,41.1129,85.2401,true,false,Subregion,
Inner Mongolia,Region,Province / State,China,China,CN,CN-NM,43.3782,115.0595,true,false,Subregion,
Hong Kong SAR,Region,Special Administrative Region,China,Hong Kong SAR,HK,HK,22.3193,114.1694,true,true,Region,"Duplicate name kept for region-level view if needed; you can delete this row if using only top-level Hong Kong SAR."
Macau SAR,Region,Special Administrative Region,China,Macau SAR,MO,MO,22.1987,113.5439,true,false,Region,"Duplicate name kept for region-level view if needed."
Tokyo,Region,Province / State,Japan,Japan,JP,JP-13,35.6762,139.6503,true,true,Subregion,
Kyoto,Region,Province / State,Japan,Japan,JP,JP-26,35.0116,135.7681,true,false,Subregion,
Osaka,Region,Province / State,Japan,Japan,JP,JP-27,34.6937,135.5023,true,false,Subregion,
Okinawa,Region,Province / State,Japan,Japan,JP,JP-47,26.2124,127.6809,true,false,Subregion,
Hokkaido,Region,Province / State,Japan,Japan,JP,JP-01,43.2203,142.8635,true,false,Subregion,
Fukuoka,Region,Province / State,Japan,Japan,JP,JP-40,33.6064,130.4181,true,false,Subregion,
California,Region,Province / State,United States,United States,US,US-CA,36.7783,-119.4179,true,false,Subregion,
New York,Region,Province / State,United States,United States,US,US-NY,43.2994,-74.2179,true,false,Subregion,
Washington,Region,Province / State,United States,United States,US,US-WA,47.7511,-120.7401,true,false,Subregion,
Massachusetts,Region,Province / State,United States,United States,US,US-MA,42.4072,-71.3824,true,false,Subregion,
Texas,Region,Province / State,United States,United States,US,US-TX,31.9686,-99.9018,true,false,Subregion,
Florida,Region,Province / State,United States,United States,US,US-FL,27.6648,-81.5158,true,false,Subregion,
Illinois,Region,Province / State,United States,United States,US,US-IL,40.6331,-89.3985,true,false,Subregion,
British Columbia,Region,Province / State,Canada,Canada,CA,CA-BC,53.7267,-127.6476,true,false,Subregion,
Ontario,Region,Province / State,Canada,Canada,CA,CA-ON,51.2538,-85.3232,true,false,Subregion,
Quebec,Region,Province / State,Canada,Canada,CA,CA-QC,52.9399,-73.5491,true,false,Subregion,
New South Wales,Region,Province / State,Australia,Australia,AU,AU-NSW,-31.2532,146.9211,true,false,Subregion,
Victoria,Region,Province / State,Australia,Australia,AU,AU-VIC,-37.4713,144.7852,true,false,Subregion,
Queensland,Region,Province / State,Australia,Australia,AU,AU-QLD,-20.9176,142.7028,true,false,Subregion,
England,Region,Province / State,United Kingdom,United Kingdom,GB,GB-ENG,52.3555,-1.1743,true,false,Subregion,
Scotland,Region,Province / State,United Kingdom,United Kingdom,GB,GB-SCT,56.4907,-4.2026,true,false,Subregion,
Wales,Region,Province / State,United Kingdom,United Kingdom,GB,GB-WLS,52.1307,-3.7837,true,false,Subregion,
Northern Ireland,Region,Province / State,United Kingdom,United Kingdom,GB,GB-NIR,54.7877,-6.4923,true,false,Subregion,
